"EDA122","Feltoleranta datorsystem","MPCSN","DATORER, NÄTVERK OCH SYSTEM, MASTERPROGRAM"
"EDA222","Realtidssystem","MPCSN","DATORER, NÄTVERK OCH SYSTEM, MASTERPROGRAM"
"EDA234","Digital konstruktion, projektkurs","TKELT","ELEKTROTEKNIK, CIVILINGENJÖR"
"EDA263","Datasäkerhet","MPCSN","DATORER, NÄTVERK OCH SYSTEM, MASTERPROGRAM"
"EDA283","Parallella datorsystem","MPCSN","DATORER, NÄTVERK OCH SYSTEM, MASTERPROGRAM"
"EDA322","Digital konstruktion","TKDAT","DATATEKNIK, CIVILINGENJÖR"
"EDA344","Datakommunikation","TKDAT","DATATEKNIK, CIVILINGENJÖR"
"EDA387","Datornätverk","MPCSN","DATORER, NÄTVERK OCH SYSTEM, MASTERPROGRAM"
"EDA397","Agile development processes","MPSOF","SOFTWARE ENGINEERING AND TECHNOLOGY - UTVECKLING OCH IMPLEMENTERING AV MJUKVARA, MASTERPROGRAM"
"EDA421","Parallella och distribuerade realtidssystem","MPCSN","DATORER, NÄTVERK OCH SYSTEM, MASTERPROGRAM"
"EDA433","Grundläggande datorteknik","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"EDA491","Nätverkssäkerhet","MPCSN","DATORER, NÄTVERK OCH SYSTEM, MASTERPROGRAM"
"ENM015","Teknikevolution och miljö","MPTSE","INDUSTRIELL EKOLOGI, MASTERPROGRAM"
"ENM021","Tillämpad industriell ekologi","MPTSE","INDUSTRIELL EKOLOGI, MASTERPROGRAM"
"ENM035","Bedömning av hållbarhet","MPTSE","INDUSTRIELL EKOLOGI, MASTERPROGRAM"
"ENM090","Miljökonsekvensbeskrivning","MPTSE","INDUSTRIELL EKOLOGI, MASTERPROGRAM"
"ENM130","Hantering av intressenter för hållbar utveckling","MPTSE","INDUSTRIELL EKOLOGI, MASTERPROGRAM"
"ENM140","Spelteori och rationalitet","MPCAS","KOMPLEXA ADAPTIVA SYSTEM, MASTERPROGRAM"
"ENM145","Ledarskap för hållbarhetsomställningar - förberedande kurs för Challenge Lab","MPTSE","INDUSTRIELL EKOLOGI, MASTERPROGRAM"
"EOE054","Mätteknik","TKELT","ELEKTROTEKNIK, CIVILINGENJÖR"
"FFR105","Stokastiska optimeringsmetoder","MPCAS","KOMPLEXA ADAPTIVA SYSTEM, MASTERPROGRAM"
"FFR110","Beräkningsbiologi 1","MPCAS","KOMPLEXA ADAPTIVA SYSTEM, MASTERPROGRAM"
"FFR115","Beräkningsbiologi 2","MPCAS","KOMPLEXA ADAPTIVA SYSTEM, MASTERPROGRAM"
"FFR120","Simulering av komplexa system","MPCAS","KOMPLEXA ADAPTIVA SYSTEM, MASTERPROGRAM"
"FFR125","Autonoma agenter","MPCAS","KOMPLEXA ADAPTIVA SYSTEM, MASTERPROGRAM"
"FFR135","Artificiella neurala nätverk","MPCAS","KOMPLEXA ADAPTIVA SYSTEM, MASTERPROGRAM"
"FFR141","Seminarier inom komplexa system","MPCAS","KOMPLEXA ADAPTIVA SYSTEM, MASTERPROGRAM"
"FFR160","Hållbar utveckling","MPTSE","INDUSTRIELL EKOLOGI, MASTERPROGRAM"
"FFR166","Mekanismerna bakom miljöförändringar","MPTSE","INDUSTRIELL EKOLOGI, MASTERPROGRAM"
"FFY621","Fysik för ingenjörer","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"IDY040","Technological change and economic transformation","MPMEI","INNOVATIONSLEDNING, MASTERPROGRAM"
"IEK415","Industriell ekonomi","TKELT","ELEKTROTEKNIK, CIVILINGENJÖR"
"IPR010","Managing development projects","MPMEI","INNOVATIONSLEDNING, MASTERPROGRAM"
"ISM030","Service contract management","MPMEI","INNOVATIONSLEDNING, MASTERPROGRAM"
"ITS022","Teknik för ett hållbart globalt samhälle","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"ITS023","Teknik för ett hållbart globalt samhälle","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"ITS065","Genus och teknik","MTS","-"
"ITS070","Nya medier: Teknik, mobilitet och samhällsförändring","MTS","-"
"KBB032","Biokemi och molekylärbiologi","MPBIO","BIOTEKNIK, MASTERPROGRAM"
"KTK111","Kemi för ingenjörer","TKIEK","INDUSTRIELL EKONOMI, CIVILINGENJÖR"
"LSP310","Kommunikation och ingenjörskompetens","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"LSP530","Skönlitteratur på engelska för ingenjörer","SPRAK","-"
"MVE045","Matematisk analys","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"MVE050","Matematisk statistik och diskret matematik","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"MVE051","Matematisk statistik och diskret matematik","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"MVE065","Specialkurs teknisk matematik","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"MVE085","Flervariabelanalys","TKVOV","VÄG- OCH VATTENBYGGNAD, CIVILINGENJÖR"
"MVE095","Optioner och matematik","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"MVE140","Sannolikhetsteorins grunder","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"MVE150","Algebra","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"MVE155","Statistisk slutledning","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"MVE160","Mathematical modelling","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"MVE161","Ordinära differentialekvationer och matematisk modellering","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"MVE162","Ordinära differentialekvationer och matematisk modellering","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"MVE165","Linjär och heltalsoptimering med tillämpningar","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"MVE170","Grundläggande stokastiska processer","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"MVE186","Datorintensiva statistiska metoder","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
,,,
"MVE190","Linjära statistiska modeller","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"MVE220","Finansiell risk","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"MVE255","Matematisk analys i flera variabler","TKMAS","MASKINTEKNIK, CIVILINGENJÖR"
"MVE326","Principer för statistisk slutledning","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"MVE330","Stokastiska processer","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"MVE365","Problemlösning och lärande","MPLOL","LÄRANDE OCH LEDARSKAP, MSC PROGR"
"MVE370","Matematik och samhälle","MPLOL","LÄRANDE OCH LEDARSKAP, MSC PROGR"
"MVE375","Matematik, undervisning och bedömning","MPLOL","LÄRANDE OCH LEDARSKAP, MSC PROGR"
"MVE380","Analysera lärande","MPLOL","LÄRANDE OCH LEDARSKAP, MSC PROGR"
"MVE385","Projektkurs i matematisk och statistisk modellering","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"MVE390","Lärande och ledarskap i praktiken - breddning","MPLOL","LÄRANDE OCH LEDARSKAP, MSC PROGR"
"MVE405","Individual project in mathematics and mathematical statistics","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"MVE440","Statistisk slutledning för stora datamängder","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"PPU225","Förstå brukare och bruk","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"SSY180","Medicin för tekniker","MPBME","MEDICINSK TEKNIK, MASTERPROGRAM"
"SSY200","Elektromagnetiska beräkningar","MPENM","MATEMATIK OCH BERÄKNINGSVETENSKAP, MASTERPROGRAM"
"TDA183","Beräkningsmodeller","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"TDA206","Diskret optimering","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"TDA231","Algoritmer för maskininlärning och slutledning","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"TDA251","Algoritmer, fortsättningskurs","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"TDA283","Kompilatorkonstruktion","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"TDA289","Människa - dator interaktion","TKITE","INFORMATIONSTEKNIK, CIVILINGENJÖR"
"TDA293","Software engineering med formella metoder","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"TDA297","Distribuerade system, fortsättningskurs","MPCSN","DATORER, NÄTVERK OCH SYSTEM, MASTERPROGRAM"
"TDA335","Programming project, major","MPIDE","INTERAKTIONSDESIGN, MASTERPROGRAM"
"TDA342","Avancerad funktionell programmering","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
"TDA351","Kryptografi","MPALG","DATAVETENSKAP - ALGORITMER, PROGRAMSPRÅK OCH LOGIK, MASTERPROGRAM"
